Source,Target,Year
Loyola Marymount University,University Of Southern California,1999
Loyola University,University Of San Diego,1999
Loyola University,Marquette University,1999
Lynchburg College,Virginia Commonwealth University,1999
Mankato State University,Moorhead State University,1999
Mankato State University,Moorhead State University,1999
Mankato State University,Moorhead State University,1999
Mankato State University,Moorhead State University,1999
Mankato State University,Moorhead State University,1999
Mankato State University,Moorhead State University,1999
Mankato State University,Moorhead State University,1999
Mankato State University,Moorhead State University,1999
Marist College,Thomas Jefferson University,1999
Marquette University,University Of St Thomas Minnesota,1999
Marquette University,University Of Chicago,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Marshall University,West Virginia University,1999
Massachusetts Institute Of Technology,Yeshiva University,1999
Middle Tennessee State University,University Of North Texas,1999
Mississippi State University,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
Mississippi State University,University Of Mississippi,1999
Mississippi State University,University Of Southern Mississippi,1999
University Of Mississippi,University Of Southern Mississippi,1999
New Jersey Institute Of Technology,University Of Pittsburgh,1999
New Mexico State University,University Of New Mexico,1999
New School University,University Of Chicago,1999
New York University,Yeshiva University,1999
New York University,University Of Notre Dame,1999
Occidental College,Pomona College,1999
Occidental College,University Of Southern California,1999
Pomona College,University Of Southern California,1999
Occidental College,Washington And Lee University,1999
Oklahoma State University,University Of Oklahoma,1999
Oklahoma State University,University Of Oklahoma,1999
Oklahoma State University,University Of Oklahoma,1999
Oklahoma State University,University Of Oklahoma,1999
Pennsylvania State System Of Higher Education,Pennsylvania State University,1999
Pennsylvania State System Of Higher Education,Temple University,1999
Pennsylvania State University,Temple University,1999
Pennsylvania State System Of Higher Education,Pennsylvania State University,1999
Pennsylvania State System Of Higher Education,Temple University,1999
Pennsylvania State System Of Higher Education,University Of Pittsburgh,1999
Pennsylvania State University,Temple University,1999
Pennsylvania State University,University Of Pittsburgh,1999
Temple University,University Of Pittsburgh,1999
Polytechnic University,Rensselaer Polytechnic Institute,1999
New Jersey Institute Of Technology,Princeton University,1999
Princeton University,Rice University,1999
Reed College,Scripps College,1999
Regis University,University Of Southern Colorado,1999
Regis University,Saint Josephs University,1999
Rochester Institute Of Technology,University Of Rochester,1999
Rollins College,University Of Miami,1999
Saint Marys College Of California,Xavier University,1999
Saint Marys College Of California,Saint Marys University Of Minnesota,1999
Seton Hall University,Villanova University,1999
South Dakota State University,University Of South Dakota,1999
South Dakota State University,University Of South Dakota,1999
South Dakota State University,University Of South Dakota,1999
South Dakota State University,University Of South Dakota,1999
South Dakota State University,University Of South Dakota,1999
Spring Hill College,University Of Notre Dame,1999
Santa Clara University,Stanford University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
Austin Peay State University,University Of Tennessee System,1999
Tennessee Board Of Regents,University Of Tennessee System,1999
Thomas Jefferson University,Widener University,1999
Trinity University,University Of Tulsa,1999
Tufts University,University Of Delaware,1999
Tufts University,University Of Chicago,1999
Tuskegee University,Wofford College,1999
University Of Chicago,University Of Rochester,1999
University Of Connecticut,Yale University,1999
University Of Evansville,Wabash College,1999
University Of North Carolina At Greensboro,Wake Forest University,1999
University Of Notre Dame,University Of St Thomas Minnesota,1999
Mount St Marys College,University Of Notre Dame,1999
Brown University,University Of Rhode Island,1999
University Of Richmond,Virginia Commonwealth University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
University Of Utah,Utah State University,1999
University Of Utah,Weber State University,1999
Utah State University,Weber State University,1999
Utah State University,Weber State University,1999
Utah State University,Weber State University,1999
Vassar College,Yeshiva University,1999
Wabash College,Washington University,1999
Wake Forest University,Western Carolina University,1999
Santa Clara University,Washington And Lee University,1999
Ohio University,Xavier University,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Austin Peay State University,University Of Tennessee System,1999
Mount St Marys College,Santa Clara University,1999
Tennessee Board Of Regents,University Of Tennessee System,1999
Abilene Christian University,George Washington University,2000
Agnes Scott College,Davidson College,2000
Allegheny College,West Virginia Wesleyan College,2000
Allegheny College,Carnegie Mellon University,2000
Allegheny College,Duquesne University,2000
Carnegie Mellon University,Duquesne University,2000
American University,Loyola College In Maryland,2000
Amherst College,Wellesley College,2000
Andrews University,Loma Linda University,2000
Andrews University,Loma Linda University,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Arizona State University,Northern Arizona University,2000
Arizona State University,University Of Arizona,2000
Northern Arizona University,University Of Arizona,2000
Auburn University,University Of South Alabama,2000
Auburn University,Tuskegee University,2000
Auburn University,University Of Alabama System,2000
Auburn University,University Of South Alabama,2000
Tuskegee University,University Of Alabama System,2000
